ip;date;http_code;data_size
80.124.164.139;18/Dec/2014:23:59:03;200;1369
92.135.94.233;18/Dec/2014:23:59:03;200;2137
92.135.94.233;18/Dec/2014:23:59:04;207;453
92.135.94.233;18/Dec/2014:23:59:04;200;2157
92.135.94.233;18/Dec/2014:23:59:04;200;623
93.20.41.4;18/Dec/2014:23:59:16;207;383
93.20.41.4;18/Dec/2014:23:59:26;207;453
93.20.41.4;18/Dec/2014:23:59:29;207;453
93.20.41.4;18/Dec/2014:23:59:34;207;383
92.135.94.233;18/Dec/2014:23:59:34;207;453
92.135.94.233;18/Dec/2014:23:59:35;207;816
93.20.41.4;18/Dec/2014:23:59:46;207;383
93.20.41.4;18/Dec/2014:23:59:56;207;453
93.20.41.4;18/Dec/2014:23:59:59;207;453
92.135.94.233;19/Dec/2014:00:00:03;207;1482
93.20.41.4;19/Dec/2014:00:00:04;207;383
92.135.94.233;19/Dec/2014:00:00:04;207;5958
92.135.94.233;19/Dec/2014:00:00:04;207;11970
92.135.94.233;19/Dec/2014:00:00:05;207;453
92.135.94.233;19/Dec/2014:00:00:05;207;6691
92.135.94.233;19/Dec/2014:00:00:06;207;3296
92.135.94.233;19/Dec/2014:00:00:06;200;2125
92.135.94.233;19/Dec/2014:00:00:07;200;2137
92.135.94.233;19/Dec/2014:00:00:07;200;2157
92.135.94.233;19/Dec/2014:00:00:07;200;623
93.20.41.4;19/Dec/2014:00:00:16;207;383
92.135.94.233;19/Dec/2014:00:00:19;204;0
92.135.94.233;19/Dec/2014:00:00:21;201;0
93.20.41.4;19/Dec/2014:00:00:26;207;453
93.20.41.4;19/Dec/2014:00:00:29;207;453
92.135.94.233;19/Dec/2014:00:00:32;207;1482
92.135.94.233;19/Dec/2014:00:00:32;207;5958
92.135.94.233;19/Dec/2014:00:00:33;207;1063
92.135.94.233;19/Dec/2014:00:00:33;207;101563
93.20.41.4;19/Dec/2014:00:00:34;207;383
92.135.94.233;19/Dec/2014:00:00:34;207;11970
92.135.94.233;19/Dec/2014:00:00:35;207;6691
92.135.94.233;19/Dec/2014:00:00:35;207;453
92.135.94.233;19/Dec/2014:00:00:35;207;3296
92.135.94.233;19/Dec/2014:00:00:36;200;2125
92.135.94.233;19/Dec/2014:00:00:36;200;2137
92.135.94.233;19/Dec/2014:00:00:37;200;2157
92.135.94.233;19/Dec/2014:00:00:37;200;623
92.135.94.233;19/Dec/2014:00:00:38;201;0
80.124.164.139;19/Dec/2014:00:00:39;207;5958
80.124.164.139;19/Dec/2014:00:00:40;207;1063
80.124.164.139;19/Dec/2014:00:00:40;207;101603
80.124.164.139;19/Dec/2014:00:00:41;207;11970
80.124.164.139;19/Dec/2014:00:00:41;207;1910
80.124.164.139;19/Dec/2014:00:00:42;207;7391
80.124.164.139;19/Dec/2014:00:00:42;207;3625
80.124.164.139;19/Dec/2014:00:00:43;207;3226
80.124.164.139;19/Dec/2014:00:00:44;207;1533
80.124.164.139;19/Dec/2014:00:00:44;207;1849
80.124.164.139;19/Dec/2014:00:00:44;207;2546
93.20.41.4;19/Dec/2014:00:00:46;207;383
93.20.41.4;19/Dec/2014:00:00:47;207;5958
93.20.41.4;19/Dec/2014:00:00:48;207;1063
80.124.164.139;19/Dec/2014:00:00:48;200;17
92.135.94.233;19/Dec/2014:00:00:48;207;1482
93.20.41.4;19/Dec/2014:00:00:48;207;101603
80.124.164.139;19/Dec/2014:00:00:48;200;3593
92.135.94.233;19/Dec/2014:00:00:49;207;5958
93.20.41.4;19/Dec/2014:00:00:49;207;11970
80.124.164.139;19/Dec/2014:00:00:49;200;1421
93.20.41.4;19/Dec/2014:00:00:49;207;1910
92.135.94.233;19/Dec/2014:00:00:49;207;11970
93.20.41.4;19/Dec/2014:00:00:49;207;7391
80.124.164.139;19/Dec/2014:00:00:49;200;5
92.135.94.233;19/Dec/2014:00:00:50;207;1533
93.20.41.4;19/Dec/2014:00:00:50;207;3625
92.135.94.233;19/Dec/2014:00:00:50;207;1849
93.20.41.4;19/Dec/2014:00:00:50;207;3226
93.20.41.4;19/Dec/2014:00:00:51;207;1533
92.135.94.233;19/Dec/2014:00:00:51;207;6691
93.20.41.4;19/Dec/2014:00:00:51;207;1849
92.135.94.233;19/Dec/2014:00:00:51;207;3296
93.20.41.4;19/Dec/2014:00:00:52;207;6691
92.135.94.233;19/Dec/2014:00:00:52;200;2125
93.20.41.4;19/Dec/2014:00:00:52;207;3296
92.135.94.233;19/Dec/2014:00:00:52;200;2137
92.135.94.233;19/Dec/2014:00:00:52;200;2157
93.20.41.4;19/Dec/2014:00:00:53;200;2125
92.135.94.233;19/Dec/2014:00:00:53;200;623
93.20.41.4;19/Dec/2014:00:00:53;200;2137
93.20.41.4;19/Dec/2014:00:00:53;200;2157
93.20.41.4;19/Dec/2014:00:00:54;200;623
93.20.41.4;19/Dec/2014:00:00:54;200;17
93.20.41.4;19/Dec/2014:00:00:54;200;3593
92.135.94.233;19/Dec/2014:00:00:55;201;0
93.20.41.4;19/Dec/2014:00:00:55;200;1421
93.20.41.4;19/Dec/2014:00:00:55;200;5
93.20.41.4;19/Dec/2014:00:00:57;207;453
93.20.41.4;19/Dec/2014:00:00:59;207;453
92.135.94.233;19/Dec/2014:00:01:04;207;1482
92.135.94.233;19/Dec/2014:00:01:04;207;5958
92.135.94.233;19/Dec/2014:00:01:04;207;11970
92.135.94.233;19/Dec/2014:00:01:05;207;1533
92.135.94.233;19/Dec/2014:00:01:05;207;2227
92.135.94.233;19/Dec/2014:00:01:06;207;453
92.135.94.233;19/Dec/2014:00:01:06;207;6691
92.135.94.233;19/Dec/2014:00:01:06;207;3296
92.135.94.233;19/Dec/2014:00:01:07;200;2125
92.135.94.233;19/Dec/2014:00:01:07;200;2137
92.135.94.233;19/Dec/2014:00:01:08;200;2157
92.135.94.233;19/Dec/2014:00:01:08;200;623
92.135.94.233;19/Dec/2014:00:01:09;204;0
93.20.41.4;19/Dec/2014:00:01:20;207;383
93.20.41.4;19/Dec/2014:00:01:25;207;5958
93.20.41.4;19/Dec/2014:00:01:26;207;383
93.20.41.4;19/Dec/2014:00:01:26;207;1063
93.20.41.4;19/Dec/2014:00:01:26;207;101619
93.20.41.4;19/Dec/2014:00:01:27;207;453
80.124.164.139;19/Dec/2014:00:01:27;207;5958
93.20.41.4;19/Dec/2014:00:01:27;207;11970
80.124.164.139;19/Dec/2014:00:01:28;207;1063
93.20.41.4;19/Dec/2014:00:01:28;207;1910
93.20.41.4;19/Dec/2014:00:01:28;207;7391
80.124.164.139;19/Dec/2014:00:01:28;207;101604
93.20.41.4;19/Dec/2014:00:01:28;207;3625
80.124.164.139;19/Dec/2014:00:01:29;207;11970
93.20.41.4;19/Dec/2014:00:01:29;207;3226
80.124.164.139;19/Dec/2014:00:01:29;207;1910
80.124.164.139;19/Dec/2014:00:01:29;207;7391
80.124.164.139;19/Dec/2014:00:01:30;207;3625
93.20.41.4;19/Dec/2014:00:01:30;207;1533
93.20.41.4;19/Dec/2014:00:01:30;207;453
93.20.41.4;19/Dec/2014:00:01:30;207;2227
80.124.164.139;19/Dec/2014:00:01:30;207;3226
80.124.164.139;19/Dec/2014:00:01:31;207;1533
80.124.164.139;19/Dec/2014:00:01:31;207;2227
80.124.164.139;19/Dec/2014:00:01:32;207;6691
80.124.164.139;19/Dec/2014:00:01:32;207;3296
80.124.164.139;19/Dec/2014:00:01:33;200;2125
80.124.164.139;19/Dec/2014:00:01:33;200;2137
80.124.164.139;19/Dec/2014:00:01:33;200;2157
80.124.164.139;19/Dec/2014:00:01:34;200;623
93.20.41.4;19/Dec/2014:00:01:34;200;17
80.124.164.139;19/Dec/2014:00:01:34;200;17
93.20.41.4;19/Dec/2014:00:01:34;200;3593
80.124.164.139;19/Dec/2014:00:01:34;200;3593
93.20.41.4;19/Dec/2014:00:01:35;200;26
80.124.164.139;19/Dec/2014:00:01:35;200;26
92.135.94.233;19/Dec/2014:00:01:36;207;453
92.135.94.233;19/Dec/2014:00:01:40;207;816
92.135.94.233;19/Dec/2014:00:01:44;207;1482
92.135.94.233;19/Dec/2014:00:01:44;207;5958
92.135.94.233;19/Dec/2014:00:01:45;207;1063
92.135.94.233;19/Dec/2014:00:01:45;207;101564
92.135.94.233;19/Dec/2014:00:01:46;207;11970
92.135.94.233;19/Dec/2014:00:01:47;207;6691
92.135.94.233;19/Dec/2014:00:01:47;207;3296
92.135.94.233;19/Dec/2014:00:01:48;200;2125
