departement;cp;commune;nb_redevables;patrimoine_moyen;impot_moyen
PARIS                         ;75107;PARIS                                             ;5598;4879729;27610
HAUTS-DE-SEINE                ;92051;NEUILLY SUR SEINE                                 ;5640;4675284;23951
PARIS                         ;75116;PARIS                                             ;13916;4014829;21805
PARIS                         ;75108;PARIS                                             ;3041;4011642;22700
PARIS                         ;75106;PARIS                                             ;3843;3899152;20076
ESSONNE                       ;91477;PALAISEAU                                         ;210;3759322;17884
ALPES-MARITIMES               ;6900;MONACO                                            ;471;3654586;24291
PARIS                         ;75104;PARIS                                             ;1150;3475590;16741
NORD                          ;59163;CROIX                                             ;264;3337077;15278
PARIS                         ;75101;PARIS                                             ;722;3320939;17465
GIRONDE                       ;33069;LE BOUSCAT                                        ;278;3266451;11714
MARTINIQUE                    ;97209;FORT DE FRANCE                                    ;81;3246959;16184
NORD                          ;59646;WASQUEHAL                                         ;201;3240040;16178
AUBE                          ;10387;TROYES                                            ;200;3130555;10785
HAUTS-DE-SEINE                ;92064;SAINT CLOUD                                       ;1258;3092788;15325
PARIS                         ;75103;PARIS                                             ;1034;3010359;14053
PARIS                         ;75117;PARIS                                             ;5822;2987475;14266
HAUTE-SAVOIE                  ;74281;THONON-LES-BAINS                                  ;183;2978220;13438
HAUTE-VIENNE                  ;87085;LIMOGES                                           ;458;2937360;13744
ALPES-MARITIMES               ;6029;CANNES                                            ;1405;2928926;14370
BAS-RHIN                      ;67482;STRASBOURG                                        ;1551;2924367;12975
NORD                          ;59512;ROUBAIX                                           ;151;2924160;12040
AIN                           ;1283;OYONNAX                                           ;88;2913690;12687
NORD                          ;59378;MARCQ EN BAROEUL                                  ;732;2891578;13024
NORD                          ;59009;VILLENEUVE D'ASCQ                                 ;352;2885611;12869
NORD                          ;59017;ARMENTIERES                                       ;54;2884755;14522
VOSGES                        ;88160;EPINAL                                            ;103;2878482;15431
NORD                          ;59328;LAMBERSART                                        ;216;2869570;12209
OISE                          ;60159;COMPIEGNE                                         ;277;2798943;12185
GIRONDE                       ;33550;VILLENAVE-D'ORNON                                 ;69;2785789;8380
PARIS                         ;75114;PARIS                                             ;3118;2785211;13293
HAUTS-DE-SEINE                ;92044;LEVALLOIS-PERRET                                  ;1152;2782865;10578
HAUTS-DE-SEINE                ;92012;BOULOGNE BILLANCOURT                              ;3409;2773653;12194
VAL-DE-MARNE                  ;94052;NOGENT SUR MARNE                                  ;716;2772175;11217
SEINE-ET-MARNE                ;77350;OZOIR LA FERRIERE                                 ;68;2770389;13632
VAL-DE-MARNE                  ;94067;SAINT MANDE                                       ;760;2756486;12734
VAL-D'OISE                    ;95252;FRANCONVILLE                                      ;52;2744267;13630
PARIS                         ;75105;PARIS                                             ;2464;2731775;12016
FINISTERE                     ;29019;BREST                                             ;259;2728262;10260
HAUTS-DE-SEINE                ;92046;MALAKOFF                                          ;141;2727273;7784
SEINE-ET-MARNE                ;77243;LAGNY SUR MARNE                                   ;88;2713488;11670
BOUCHES-DU-RHONE              ;13001;AIX EN PROVENCE                                   ;1742;2701371;11782
PARIS                         ;75118;PARIS                                             ;1304;2701156;12223
DEUX-SEVRES                   ;79191;NIORT                                             ;204;2700473;12149
RHONE                         ;69202;STE FOY LES LYON                                  ;350;2696974;11883
NORD                          ;59368;LA MADELEINE                                      ;140;2681937;11165
LA REUNION                    ;97418;SAINTE MARIE                                      ;69;2679988;10135
SAONE-ET-LOIRE                ;71270;MACON                                             ;104;2678506;13725
DROME                         ;26362;VALENCE                                           ;238;2670244;9721
YVELINES                      ;78126;LA CELLE-SAINT-CLOUD                              ;491;2656830;11661
EURE-ET-LOIR                  ;28134;DREUX                                             ;61;2643349;12890
MARNE                         ;51230;EPERNAY                                           ;96;2639866;13687
GIRONDE                       ;33063;BORDEAUX                                          ;2093;2637727;11851
SEINE-MARITIME                ;76108;BOIS-GUILLAUME-BIHOREL                            ;280;2634396;10434
HAUT-RHIN                     ;68224;MULHOUSE                                          ;309;2629572;11579
ILLE-ET-VILAINE               ;35238;RENNES                                            ;1137;2628651;11434
MAYENNE                       ;53130;LAVAL                                             ;191;2625811;10252
PARIS                         ;75109;PARIS                                             ;1673;2624245;11515
RHONE                         ;69034;CALUIRE ET CUIRE                                  ;495;2614844;11304
RHONE                         ;69290;SAINT-PRIEST                                      ;71;2614635;11310
CORSE-DU-SUD                  ;2A 004;AJACCIO                                           ;227;2608624;11585
NIEVRE                        ;58194;NEVERS                                            ;83;2608264;12937
YVELINES                      ;78646;VERSAILLES                                        ;2471;2608250;10887
RHONE                         ;69123;LYON                                              ;3984;2604708;10994
LANDES                        ;40088;DAX                                               ;103;2603699;11716
LOIRE-ATLANTIQUE              ;44109;NANTES                                            ;1944;2603236;11732
VAL-DE-MARNE                  ;94041;IVRY SUR SEINE                                    ;99;2603043;7142
BOUCHES-DU-RHONE              ;13055;MARSEILLE                                         ;3472;2600480;10277
VAL-D'OISE                    ;95428;MONTMORENCY                                       ;280;2591567;10942
MOSELLE                       ;57631;SARREGUEMINES                                     ;66;2591162;9931
COTE-D'OR                     ;21231;DIJON                                             ;609;2582126;8898
OISE                          ;60057;BEAUVAIS                                          ;164;2575472;9555
PARIS                         ;75115;PARIS                                             ;6230;2571716;11125
MOSELLE                       ;57463;METZ                                              ;381;2566638;9929
ISERE                         ;38563;VOIRON                                            ;81;2566353;9742
SAVOIE                        ;73065;CHAMBERY                                          ;309;2558201;10753
MOSELLE                       ;57672;THIONVILLE                                        ;195;2557501;11222
SEINE-SAINT-DENIS             ;93045;LES LILAS                                         ;119;2554846;13365
VAL-DE-MARNE                  ;94068;SAINT MAUR DES FOSSES                             ;1490;2553093;10289
PAS-DE-CALAIS                 ;62160;BOULOGNE SUR MER                                  ;80;2551527;8157
NORD                          ;59350;LILLE                                             ;834;2550368;10665
